views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
  262,237     75               11  kept     Saving Private Ryan
  260,846     96               11  kept     Red Hot Chili Peppers
  260,842     54                3  kept     PBS
  258,306    177               11  kept     Friedrich Nietzsche
  258,071     89                8  kept     James Stewart
  255,996     70               10  kept     Keith Richards
  255,813     78                9  kept     Tennessee Williams
  255,598     93               11  kept     Whoopi Goldberg
  255,536     86                8  kept     Alicia Keys
  254,481     75                8  kept     Eagles (band)
  253,605    102                7  kept     Nicki Minaj
  253,124     70                8  kept     Dean Martin
  252,895    134                7  kept     Mona Lisa
  252,320    216                7  kept     The Buddha
  251,435    212                8  kept     Pablo Picasso
  251,097     87                7  kept     Cary Grant
  250,905    115                8  kept     Amitabh Bachchan
  250,148    145                7  kept     Jane Austen
  250,014     73                9  kept     Seven deadly sins
  249,921     75               11  kept     System of a Down
  249,858     44                6  kept     The Wire
  249,689     46                5  kept     Mad Men
  249,302     63               12  kept     Casino Royale (2006 film)
  249,298     70                4  kept     Bee Gees
  248,924    175                8  kept     Eiffel Tower
  248,839     40               10  kept     Succession (TV series)
  248,671     48               11  kept     The Mandalorian
  248,310     66                8  kept     Neil Young
  248,251     97               13  kept     Justin Timberlake
  248,197     89                7  kept     Orson Welles
  247,805    101               11  kept     Nineteen Eighty-Four
  247,538    119               14  kept     Empire State Building
  247,217    103                4  kept     50 Cent
  246,748    112                8  kept     Cate Blanchett
  246,144     53               13  kept     Paul Thomas Anderson
  245,844     89                6  kept     Snoop Dogg
  245,268     80                9  kept     Star Wars (film)
  244,812     68                8  kept     Blade Runner
  244,355     44                9  kept     Jujutsu Kaisen
  244,219    130               12  kept     SpongeBob SquarePants
  244,165     48               13  REMOVED  Band of Brothers (miniseries)
  243,591     80                9  kept     Sting (musician)
  243,209    133               10  kept     Oscar Wilde
  243,008     92                8  REMOVED  Gregory Peck
  242,844     88               10  kept     Schindler's List
  242,629     66               10  kept     Rockstar Games
  242,474     64                7  kept     Minions (film)
  242,341     95                4  REMOVED  Björk
  240,545     66                7  kept     Lilo & Stitch
  240,413    144                5  kept     Anime
  239,588    110               12  REMOVED  Christina Aguilera
  239,200     61               11  kept     Modern Family
