rank	views_60d	status	title
684	148619	kept	R.E.M.
685	148175	kept	Great Pyramid of Giza
686	147837	kept	The Smiths
687	147816	kept	Finding Nemo
688	147674	kept	Hansel and Gretel
689	147465	kept	Usher (musician)
690	147362	kept	Bob Fosse
691	147229	kept	The Dark Side of the Moon
692	147168	kept	Pretty Woman
693	147001	kept	Kill Bill: Volume 1
694	146907	kept	The Grand Budapest Hotel
695	146328	kept	Pantheon, Rome
696	145856	kept	The Beatles (album)
697	145614	kept	Cronus
698	145435	kept	Little Richard
699	145312	kept	Viral video
700	145306	kept	Moses
701	145287	kept	Berserk (manga)
702	145019	kept	Kabbalah
703	144934	kept	Teenage Mutant Ninja Turtles
704	144772	kept	Polymath
705	144560	kept	Four Horsemen of the Apocalypse
706	144552	kept	Beowulf
707	144436	kept	The Phantom of the Opera (1986 musical)
708	144344	kept	Ricky Martin
709	144322	kept	Manga
710	144320	kept	The Good, the Bad and the Ugly
711	144029	kept	Dirty Dancing
712	143594	kept	Demon Slayer: Kimetsu no Yaiba
713	143487	kept	Twitch (service)
714	143337	kept	Leo Tolstoy
715	143243	kept	Romeo and Juliet
716	143076	kept	Lord Byron
717	143075	kept	Psycho (1960 film)
718	142895	kept	James Baldwin
719	142828	kept	Power Rangers
720	142468	kept	Viola Davis
721	142427	kept	Harry Potter and the Philosopher's Stone (film)
722	142368	kept	Kazuo Ishiguro
723	142240	kept	The Chronicles of Narnia
724	142183	kept	Thomas Aquinas
725	142034	kept	Occam's razor
726	141959	kept	The Imitation Game
727	141923	kept	The Texas Chain Saw Massacre
728	141815	kept	Coldplay
729	141814	kept	Casino (1995 film)
730	141617	kept	Talking Heads
731	141595	kept	Scrubs (TV series)
732	141586	kept	Brooklyn Nine-Nine
733	141554	kept	Daenerys Targaryen
734	141378	kept	Noam Chomsky
735	141255	kept	Salem witch trials
736	140758	kept	Berlin Wall
737	140518	kept	Norah Jones
738	140440	kept	Tool (band)
739	140304	kept	Persepolis (comics)
740	140253	kept	Nas
741	139980	kept	A Midsummer Night's Dream
742	139974	kept	Renaissance
743	139955	kept	Vertigo (film)
744	139854	kept	Boogie Nights
745	139824	kept	Tangled
746	139704	kept	The Goonies
747	139297	kept	Full Metal Jacket
748	139248	kept	Easter Island
749	139154	kept	Cassandra
750	139046	kept	PlayStation 4
751	138987	kept	Gene Kelly
752	138901	kept	Maslow's hierarchy of needs
753	138865	kept	Who Framed Roger Rabbit
754	138589	kept	Naruto
755	138405	kept	Star Wars: Episode I – The Phantom Menace
756	137880	kept	Brigitte Bardot
757	137701	kept	Greta Gerwig
